Survived,Pclass,Sex,Age,SibSp,Parch,Fare,TitleGroup,FamilySize
0,3,0,22,1,0,7.25,Mr,2
1,1,1,38,1,0,71.2833,Mrs,2
1,3,1,26,0,0,7.925,Miss,1
1,1,1,35,1,0,53.1,Mrs,2
0,3,0,35,0,0,8.05,Mr,1
0,3,0,30,0,0,8.4583,Mr,1
0,1,0,54,0,0,51.8625,Mr,1
0,3,0,2,3,1,21.075,kid,5
1,3,1,27,0,2,11.1333,Mrs,3
1,2,1,14,1,0,30.0708,Mrs,2
1,3,1,4,1,1,16.7,Miss,3
1,1,1,58,0,0,26.55,Miss,1
0,3,0,20,0,0,8.05,Mr,1
0,3,0,39,1,5,31.275,Mr,7
0,3,1,14,0,0,7.8542,Miss,1
1,2,1,55,0,0,16.0,Mrs,1
0,3,0,2,4,1,29.125,kid,6
1,2,0,30,0,0,13.0,Mr,1
0,3,1,31,1,0,18.0,Mrs,2
1,3,1,35,0,0,7.225,Mrs,1
0,2,0,35,0,0,26.0,Mr,1
1,2,0,34,0,0,13.0,Mr,1
1,3,1,15,0,0,8.0292,Miss,1
1,1,0,28,0,0,35.5,Mr,1
0,3,1,8,3,1,21.075,Miss,5
1,3,1,38,1,5,31.3875,Mrs,7
0,3,0,30,0,0,7.225,Mr,1
0,1,0,19,3,2,263.0,Mr,6
1,3,1,21,0,0,7.8792,Miss,1
0,3,0,30,0,0,7.8958,Mr,1
0,1,0,40,0,0,27.7208,Mr,1
1,1,1,35,1,0,146.5208,Mrs,2
1,3,1,21,0,0,7.75,Miss,1
0,2,0,66,0,0,10.5,Mr,1
0,1,0,28,1,0,82.1708,Mr,2
0,1,0,42,1,0,52.0,Mr,2
1,3,0,30,0,0,7.2292,Mr,1
0,3,0,21,0,0,8.05,Mr,1
0,3,1,18,2,0,18.0,Miss,3
1,3,1,14,1,0,11.2417,Miss,2
0,3,1,40,1,0,9.475,Mrs,2
0,2,1,27,1,0,21.0,Mrs,2
0,3,0,30,0,0,7.8958,Mr,1
1,2,1,3,1,2,41.5792,Miss,4
1,3,1,19,0,0,7.8792,Miss,1
0,3,0,30,0,0,8.05,Mr,1
0,3,0,30,1,0,15.5,Mr,2
1,3,1,21,0,0,7.75,Miss,1
0,3,0,30,2,0,21.6792,Mr,3
0,3,1,18,1,0,17.8,Mrs,2
0,3,0,7,4,1,39.6875,kid,6
0,3,0,21,0,0,7.8,Mr,1
1,1,1,49,1,0,76.7292,Mrs,2
1,2,1,29,1,0,26.0,Mrs,2
0,1,0,65,0,1,61.9792,Mr,2
1,1,0,30,0,0,35.5,Mr,1
1,2,1,21,0,0,10.5,Miss,1
0,3,0,29,0,0,7.2292,Mr,1
1,2,1,5,1,2,27.75,Miss,4
0,3,0,11,5,2,46.9,kid,8
0,3,0,22,0,0,7.2292,Mr,1
1,1,1,38,0,0,80.0,Miss,1
0,1,0,45,1,0,83.475,Mr,2
0,3,0,4,3,2,27.9,kid,6
0,1,0,30,0,0,27.7208,Mr,1
1,3,0,4,1,1,15.2458,kid,3
1,2,1,29,0,0,10.5,Mrs,1
0,3,0,19,0,0,8.1583,Mr,1
1,3,1,17,4,2,7.925,Miss,7
0,3,0,26,2,0,8.6625,Mr,3
0,2,0,32,0,0,10.5,Mr,1
0,3,1,16,5,2,46.9,Miss,8
0,2,0,21,0,0,73.5,Mr,1
0,3,0,26,1,0,14.4542,Mr,2
1,3,0,32,0,0,56.4958,Mr,1
0,3,0,25,0,0,7.65,Mr,1
0,3,0,30,0,0,7.8958,Mr,1
0,3,0,30,0,0,8.05,Mr,1
1,2,0,1,0,2,29.0,kid,3
1,3,1,30,0,0,12.475,Miss,1
0,3,0,22,0,0,9.0,Mr,1
1,3,0,29,0,0,9.5,Mr,1
1,3,1,21,0,0,7.7875,Miss,1
0,1,0,28,0,0,47.1,Mr,1
1,2,1,17,0,0,10.5,Miss,1
1,3,1,33,3,0,15.85,Mrs,4
0,3,0,16,1,3,34.375,Mr,5
0,3,0,30,0,0,8.05,Mr,1
1,1,1,23,3,2,263.0,Miss,6
0,3,0,24,0,0,8.05,Mr,1
0,3,0,29,0,0,8.05,Mr,1
0,3,0,20,0,0,7.8542,Mr,1
0,1,0,46,1,0,61.175,Mr,2
0,3,0,26,1,2,20.575,Mr,4
0,3,0,59,0,0,7.25,Mr,1
0,3,0,30,0,0,8.05,Mr,1
0,1,0,71,0,0,34.6542,Mr,1
1,1,0,23,0,1,63.3583,Mr,2
1,2,1,34,0,1,23.0,Mrs,2
0,2,0,34,1,0,26.0,Mr,2
0,3,1,28,0,0,7.8958,Miss,1
0,3,0,30,0,0,7.8958,Mr,1
0,1,0,21,0,1,77.2875,Mr,2
0,3,0,33,0,0,8.6542,Mr,1
0,3,0,37,2,0,7.925,Mr,3
0,3,0,28,0,0,7.8958,Mr,1
1,3,1,21,0,0,7.65,Miss,1
1,3,0,30,0,0,7.775,Mr,1
0,3,0,38,0,0,7.8958,Mr,1
1,3,1,21,1,0,24.15,Miss,2
0,1,0,47,0,0,52.0,Mr,1
0,3,1,15,1,0,14.4542,Miss,2
0,3,0,22,0,0,8.05,Mr,1
0,3,1,20,1,0,9.825,Miss,2
0,3,1,17,0,0,14.4583,Miss,1
0,3,0,21,0,0,7.925,Mr,1
0,3,0,71,0,0,7.75,Mr,1
0,2,0,29,1,0,21.0,Mr,2
0,1,0,24,0,1,247.5208,Mr,2
0,3,1,2,4,2,31.275,Miss,7
0,2,0,21,2,0,73.5,Mr,3
0,3,0,30,0,0,8.05,Mr,1
0,2,0,33,1,0,30.0708,Mr,2
1,2,1,33,0,0,13.0,Miss,1
0,1,0,54,0,1,77.2875,Mr,2
1,3,0,12,1,0,11.2417,kid,2
0,3,0,30,0,0,7.75,Mr,1
1,3,0,24,0,0,7.1417,Mr,1
1,3,1,21,1,1,22.3583,Miss,3
0,3,0,45,0,0,6.975,Mr,1
0,3,0,33,0,0,7.8958,Mr,1
0,3,0,20,0,0,7.05,Mr,1
0,3,1,47,1,0,14.5,Mrs,2
1,2,1,29,1,0,26.0,Mrs,2
0,2,0,25,0,0,13.0,Mr,1
0,2,0,23,0,0,15.0458,Mr,1
1,1,1,19,0,2,26.2833,Miss,3
0,1,0,37,1,0,53.1,Mr,2
0,3,0,16,0,0,9.2167,Mr,1
0,1,0,24,0,0,79.2,Mr,1
0,3,1,35,0,2,15.2458,Mrs,3
1,3,1,22,0,0,7.75,Miss,1
1,3,1,24,1,0,15.85,Mrs,2
0,3,0,19,0,0,6.75,Mr,1
0,2,0,18,0,0,11.5,Mr,1
0,2,0,19,1,1,36.75,Mr,3
1,3,0,27,0,0,7.7958,Mr,1
0,3,1,9,2,2,34.375,Miss,5
0,2,0,37,0,2,26.0,Mr,3
0,2,0,42,0,0,13.0,Mr,1
0,2,0,51,0,0,12.525,Mr,1
1,1,1,22,1,0,66.6,Mrs,2
0,3,0,56,0,0,8.05,Mr,1
0,3,0,41,0,2,14.5,Mr,3
0,3,0,30,0,0,7.3125,Mr,1
0,1,0,51,0,1,61.3792,Mr,2
1,3,1,16,0,0,7.7333,Miss,1
0,3,0,30,0,0,8.05,Mr,1
0,3,0,30,0,0,8.6625,Mr,1
0,3,0,4,8,2,69.55,kid,11
0,3,0,44,0,1,16.1,Mr,2
1,2,1,40,0,0,15.75,Mrs,1
0,3,0,26,0,0,7.775,Mr,1
0,3,0,17,0,0,8.6625,Mr,1
0,3,0,1,4,1,39.6875,kid,6
1,3,0,9,0,2,20.525,kid,3
1,1,1,35,0,1,55.0,Mrs,2
0,3,1,45,1,4,27.9,Mrs,6
